dataset,dimu_mass,n,weighted:sumw,weighted:sumw2
ttbar,"(110.0, 111.0]",0.0,0.0,0.0
ttbar,"(111.0, 112.0]",1.0,0.29352903366088867,0.08615929633378983
ttbar,"(112.0, 113.0]",2.0,0.41103529930114746,0.09543512016534805
ttbar,"(113.0, 114.0]",1.0,0.19247379899024963,0.0370461642742157
ttbar,"(114.0, 115.0]",1.0,0.08258975297212601,0.006821067072451115
ttbar,"(115.0, 116.0]",2.0,0.5867183208465576,0.17211925983428955
ttbar,"(116.0, 117.0]",2.0,0.30583837628364563,0.08229643106460571
ttbar,"(117.0, 118.0]",1.0,0.286200612783432,0.08191078901290894
ttbar,"(118.0, 119.0]",0.0,0.0,0.0
ttbar,"(119.0, 120.0]",0.0,0.0,0.0
ttbar,"(120.0, inf]",71.0,16.091196060180664,4.300868988037109
wjets,"(-inf, 60.0]",1.0,0.3119172751903534,0.09729238599538803
wjets,"(60.0, 61.0]",0.0,0.0,0.0
wjets,"(61.0, 62.0]",0.0,0.0,0.0
wjets,"(62.0, 63.0]",0.0,0.0,0.0
wjets,"(63.0, 64.0]",0.0,0.0,0.0
wjets,"(64.0, 65.0]",0.0,0.0,0.0
wjets,"(65.0, 66.0]",0.0,0.0,0.0
wjets,"(66.0, 67.0]",0.0,0.0,0.0
wjets,"(67.0, 68.0]",0.0,0.0,0.0
wjets,"(68.0, 69.0]",0.0,0.0,0.0
wjets,"(69.0, 70.0]",0.0,0.0,0.0
wjets,"(70.0, 71.0]",0.0,0.0,0.0
wjets,"(71.0, 72.0]",0.0,0.0,0.0
wjets,"(72.0, 73.0]",0.0,0.0,0.0
wjets,"(73.0, 74.0]",0.0,0.0,0.0
wjets,"(74.0, 75.0]",0.0,0.0,0.0
wjets,"(75.0, 76.0]",0.0,0.0,0.0
wjets,"(76.0, 77.0]",0.0,0.0,0.0
wjets,"(77.0, 78.0]",0.0,0.0,0.0
wjets,"(78.0, 79.0]",0.0,0.0,0.0
wjets,"(79.0, 80.0]",0.0,0.0,0.0
wjets,"(80.0, 81.0]",0.0,0.0,0.0
wjets,"(81.0, 82.0]",0.0,0.0,0.0
wjets,"(82.0, 83.0]",0.0,0.0,0.0
wjets,"(83.0, 84.0]",0.0,0.0,0.0
wjets,"(84.0, 85.0]",0.0,0.0,0.0
wjets,"(85.0, 86.0]",0.0,0.0,0.0
wjets,"(86.0, 87.0]",0.0,0.0,0.0
wjets,"(87.0, 88.0]",0.0,0.0,0.0
wjets,"(88.0, 89.0]",0.0,0.0,0.0
wjets,"(89.0, 90.0]",0.0,0.0,0.0
wjets,"(90.0, 91.0]",0.0,0.0,0.0
wjets,"(91.0, 92.0]",0.0,0.0,0.0
wjets,"(92.0, 93.0]",0.0,0.0,0.0
wjets,"(93.0, 94.0]",0.0,0.0,0.0
wjets,"(94.0, 95.0]",0.0,0.0,0.0
wjets,"(95.0, 96.0]",0.0,0.0,0.0
wjets,"(96.0, 97.0]",0.0,0.0,0.0
wjets,"(97.0, 98.0]",0.0,0.0,0.0
wjets,"(98.0, 99.0]",0.0,0.0,0.0
wjets,"(99.0, 100.0]",0.0,0.0,0.0
wjets,"(100.0, 101.0]",0.0,0.0,0.0
wjets,"(101.0, 102.0]",0.0,0.0,0.0
wjets,"(102.0, 103.0]",0.0,0.0,0.0
wjets,"(103.0, 104.0]",0.0,0.0,0.0
wjets,"(104.0, 105.0]",0.0,0.0,0.0
wjets,"(105.0, 106.0]",0.0,0.0,0.0
wjets,"(106.0, 107.0]",0.0,0.0,0.0
wjets,"(107.0, 108.0]",0.0,0.0,0.0
wjets,"(108.0, 109.0]",0.0,0.0,0.0
wjets,"(109.0, 110.0]",0.0,0.0,0.0
wjets,"(110.0, 111.0]",0.0,0.0,0.0
wjets,"(111.0, 112.0]",0.0,0.0,0.0
wjets,"(112.0, 113.0]",0.0,0.0,0.0
wjets,"(113.0, 114.0]",0.0,0.0,0.0
wjets,"(114.0, 115.0]",0.0,0.0,0.0
wjets,"(115.0, 116.0]",0.0,0.0,0.0
wjets,"(116.0, 117.0]",0.0,0.0,0.0
wjets,"(117.0, 118.0]",0.0,0.0,0.0
wjets,"(118.0, 119.0]",0.0,0.0,0.0
wjets,"(119.0, 120.0]",0.0,0.0,0.0
wjets,"(120.0, inf]",0.0,0.0,0.0
ww,"(-inf, 60.0]",61.0,3.6002206802368164,0.22147376835346222
ww,"(60.0, 61.0]",1.0,0.06328409165143967,0.0040048761293292046
ww,"(61.0, 62.0]",2.0,0.10205331444740295,0.005617056507617235
ww,"(62.0, 63.0]",1.0,0.0684838593006134,0.004690038971602917
ww,"(63.0, 64.0]",3.0,0.19425803422927856,0.012601343914866447
ww,"(64.0, 65.0]",1.0,0.06533778458833694,0.004269026219844818
ww,"(65.0, 66.0]",2.0,0.1302240639925003,0.008499076589941978
ww,"(66.0, 67.0]",2.0,0.1286676824092865,0.008292019367218018
ww,"(67.0, 68.0]",1.0,0.06381835788488388,0.0040727825835347176
ww,"(68.0, 69.0]",1.0,0.024008437991142273,0.0005764050874859095
ww,"(69.0, 70.0]",0.0,0.0,0.0
ww,"(70.0, 71.0]",3.0,0.16093775629997253,0.009486819617450237
ww,"(71.0, 72.0]",1.0,0.0684838593006134,0.004690038971602917
ww,"(72.0, 73.0]",3.0,0.1913187950849533,0.012217179872095585
ww,"(73.0, 74.0]",2.0,0.12361268699169159,0.007640092633664608
ww,"(74.0, 75.0]",2.0,0.08278003334999084,0.004871146287769079
ww,"(75.0, 76.0]",4.0,0.2519568204879761,0.015912573784589767
ww,"(76.0, 77.0]",3.0,0.18273429572582245,0.011285022832453251
ww,"(77.0, 78.0]",2.0,0.1320866048336029,0.008733337745070457
ww,"(78.0, 79.0]",3.0,0.13170978426933289,0.00847005844116211
ww,"(79.0, 80.0]",3.0,0.1446288824081421,0.008266805671155453
ww,"(80.0, 81.0]",1.0,0.018854716792702675,0.00035550034954212606
ww,"(81.0, 82.0]",3.0,0.03165978193283081,0.00036969914799556136
ww,"(82.0, 83.0]",1.0,0.06701081246137619,0.004490449093282223
ww,"(83.0, 84.0]",2.0,0.12329227477312088,0.0076004923321306705
ww,"(84.0, 85.0]",2.0,0.05557025223970413,0.0017035307828336954
ww,"(85.0, 86.0]",0.0,0.0,0.0
ww,"(86.0, 87.0]",4.0,0.20476612448692322,0.01295331958681345
ww,"(87.0, 88.0]",4.0,0.11242814362049103,0.004924234002828598
ww,"(88.0, 89.0]",1.0,0.024008437991142273,0.0005764050874859095
ww,"(89.0, 90.0]",10.0,0.46356046199798584,0.026960795745253563
ww,"(90.0, 91.0]",1.0,0.06328409165143967,0.0040048761293292046
ww,"(91.0, 92.0]",0.0,0.0,0.0
ww,"(92.0, 93.0]",1.0,0.06693325191736221,0.004480060189962387
ww,"(93.0, 94.0]",1.0,0.06381835788488388,0.0040727825835347176
ww,"(94.0, 95.0]",3.0,0.19400547444820404,0.012561045587062836
ww,"(95.0, 96.0]",3.0,0.1953025460243225,0.01273604016751051
ww,"(96.0, 97.0]",1.0,0.0009290438028983772,8.631224091004697e-07
ww,"(97.0, 98.0]",2.0,0.09383675456047058,0.004973886534571648
ww,"(98.0, 99.0]",3.0,0.15263031423091888,0.008850307203829288
ww,"(99.0, 100.0]",1.0,0.0061163147911429405,3.740930696949363e-05
ww,"(100.0, 101.0]",1.0,0.06701081246137619,0.004490449093282223
ww,"(101.0, 102.0]",3.0,0.17260822653770447,0.010222790762782097
ww,"(102.0, 103.0]",0.0,0.0,0.0
ww,"(103.0, 104.0]",1.0,0.06265110522508621,0.003925160970538855
ww,"(104.0, 105.0]",1.0,0.06701081246137619,0.004490449093282223
ww,"(105.0, 106.0]",1.0,0.06826825439929962,0.004660554695874453
ww,"(106.0, 107.0]",1.0,0.061955809593200684,0.003838522359728813
ww,"(107.0, 108.0]",1.0,0.06701081246137619,0.004490449093282223
ww,"(108.0, 109.0]",2.0,0.13227103650569916,0.008749086409807205
ww,"(109.0, 110.0]",2.0,0.06626682728528976,0.004269889555871487
ww,"(110.0, 111.0]",3.0,0.18717174232006073,0.011680811643600464
ww,"(111.0, 112.0]",4.0,0.193478524684906,0.009593885391950607
ww,"(112.0, 113.0]",0.0,0.0,0.0
ww,"(113.0, 114.0]",2.0,0.09828665107488632,0.005561658646911383
ww,"(114.0, 115.0]",1.0,0.001745029934681952,3.045129460588214e-06
ww,"(115.0, 116.0]",1.0,0.06328409165143967,0.0040048761293292046
ww,"(116.0, 117.0]",1.0,0.06328409165143967,0.0040048761293292046
ww,"(117.0, 118.0]",2.0,0.09197420626878738,0.004739626310765743
ww,"(118.0, 119.0]",0.0,0.0,0.0
ww,"(119.0, 120.0]",1.0,0.002389896661043167,5.7116062635031994e-06
ww,"(120.0, inf]",70.0,3.262568950653076,0.19040432572364807
wz,"(-inf, 60.0]",15.0,0.32091423869132996,0.007841786369681358
wz,"(60.0, 61.0]",2.0,0.05332765728235245,0.001424323534592986
wz,"(61.0, 62.0]",0.0,0.0,0.0
wz,"(62.0, 63.0]",2.0,0.038696736097335815,0.0008438943768851459
wz,"(63.0, 64.0]",0.0,0.0,0.0
wz,"(64.0, 65.0]",3.0,0.08164156973361969,0.002226001350209117
wz,"(65.0, 66.0]",0.0,0.0,0.0
wz,"(66.0, 67.0]",3.0,0.05998776853084564,0.0015569410752505064
wz,"(67.0, 68.0]",0.0,0.0,0.0
wz,"(68.0, 69.0]",2.0,0.042326100170612335,0.0009662088705226779
wz,"(69.0, 70.0]",1.0,0.025695860385894775,0.0006602772627957165
wz,"(70.0, 71.0]",1.0,0.00781989935785532,6.115082942415029e-05
wz,"(71.0, 72.0]",5.0,0.12333376705646515,0.0031584289390593767
wz,"(72.0, 73.0]",0.0,0.0,0.0
wz,"(73.0, 74.0]",0.0,0.0,0.0
wz,"(74.0, 75.0]",2.0,0.03945157676935196,0.0007827235385775566
wz,"(75.0, 76.0]",2.0,0.05332765728235245,0.001424323534592986
wz,"(76.0, 77.0]",2.0,0.045322638005018234,0.0010664481669664383
wz,"(77.0, 78.0]",2.0,0.038696736097335815,0.0008438943768851459
wz,"(78.0, 79.0]",3.0,0.05292460322380066,0.001389509649015963
wz,"(79.0, 80.0]",3.0,0.0809798538684845,0.0021897004917263985
wz,"(80.0, 81.0]",3.0,0.05416525527834892,0.001251707086339593
wz,"(81.0, 82.0]",5.0,0.11026857048273087,0.0025356849655508995
wz,"(82.0, 83.0]",6.0,0.09533867985010147,0.002259757835417986
wz,"(83.0, 84.0]",7.0,0.15885040163993835,0.0037427893839776516
wz,"(84.0, 85.0]",6.0,0.11418205499649048,0.002492205472663045
wz,"(85.0, 86.0]",9.0,0.19813202321529388,0.004953763447701931
wz,"(86.0, 87.0]",11.0,0.22553811967372894,0.005958067253232002
wz,"(87.0, 88.0]",31.0,0.6800217032432556,0.01716761477291584
wz,"(88.0, 89.0]",43.0,0.8971195220947266,0.022517241537570953
wz,"(89.0, 90.0]",66.0,1.3809895515441895,0.03414858132600784
wz,"(90.0, 91.0]",74.0,1.6458724737167358,0.042289845645427704
wz,"(91.0, 92.0]",81.0,1.731191873550415,0.04298301041126251
wz,"(92.0, 93.0]",67.0,1.455353856086731,0.037024203687906265
wz,"(93.0, 94.0]",40.0,0.8054419755935669,0.01957661472260952
wz,"(94.0, 95.0]",19.0,0.32240840792655945,0.00736615527421236
wz,"(95.0, 96.0]",16.0,0.3499264121055603,0.008783774450421333
wz,"(96.0, 97.0]",8.0,0.21145030856132507,0.00559252081438899
wz,"(97.0, 98.0]",8.0,0.16273072361946106,0.003915335517376661
wz,"(98.0, 99.0]",5.0,0.0955364927649498,0.002128067659214139
wz,"(99.0, 100.0]",5.0,0.10648050904273987,0.0025340174324810505
wz,"(100.0, 101.0]",4.0,0.10515184700489044,0.0027701943181455135
wz,"(101.0, 102.0]",1.0,0.018224122002720833,0.00033211862319149077
wz,"(102.0, 103.0]",3.0,0.06271922588348389,0.0014209744986146688
wz,"(103.0, 104.0]",0.0,0.0,0.0
wz,"(104.0, 105.0]",1.0,0.02402249164879322,0.0005770801217295229
wz,"(105.0, 106.0]",2.0,0.0542607456445694,0.0014729907270520926
wz,"(106.0, 107.0]",3.0,0.04215250164270401,0.0008990531787276268
wz,"(107.0, 108.0]",1.0,0.01522758323699236,0.00023187929764389992
wz,"(108.0, 109.0]",0.0,0.0,0.0
wz,"(109.0, 110.0]",2.0,0.036472469568252563,0.0007320820586755872
wz,"(110.0, 111.0]",1.0,0.025984231382608414,0.0006751802866347134
wz,"(111.0, 112.0]",0.0,0.0,0.0
wz,"(112.0, 113.0]",0.0,0.0,0.0
wz,"(113.0, 114.0]",1.0,0.025571878999471664,0.0006539209862239659
wz,"(114.0, 115.0]",2.0,0.04692331701517105,0.001110882149077952
wz,"(115.0, 116.0]",1.0,0.0270985160022974,0.000734329572878778
wz,"(116.0, 117.0]",0.0,0.0,0.0
wz,"(117.0, 118.0]",0.0,0.0,0.0
wz,"(118.0, 119.0]",0.0,0.0,0.0
wz,"(119.0, 120.0]",1.0,0.026468344032764435,0.0007005732622928917
wz,"(120.0, inf]",42.0,0.7820355296134949,0.018419142812490463
zz,"(-inf, 60.0]",47.0,0.36005276441574097,0.0029807204846292734
zz,"(60.0, 61.0]",0.0,0.0,0.0
zz,"(61.0, 62.0]",0.0,0.0,0.0
zz,"(62.0, 63.0]",0.0,0.0,0.0
zz,"(63.0, 64.0]",1.0,0.009474805556237698,8.97719437489286e-05
zz,"(64.0, 65.0]",2.0,0.009539684280753136,6.654464232269675e-05
zz,"(65.0, 66.0]",1.0,0.004153072834014893,1.7248014046344906e-05
zz,"(66.0, 67.0]",3.0,0.015375133603811264,0.00010704516171244904
zz,"(67.0, 68.0]",2.0,0.017707381397485733,0.00015684476238675416
zz,"(68.0, 69.0]",0.0,0.0,0.0
zz,"(69.0, 70.0]",2.0,0.013615397736430168,9.866199252428487e-05
zz,"(70.0, 71.0]",3.0,0.021952882409095764,0.00017594006203580648
zz,"(71.0, 72.0]",3.0,0.021421927958726883,0.000174941640580073
zz,"(72.0, 73.0]",1.0,0.0026085677091032267,6.8046256274101324e-06
zz,"(73.0, 74.0]",3.0,0.027029719203710556,0.0002438219089526683
zz,"(74.0, 75.0]",2.0,0.0183105506002903,0.00016766494081821293
zz,"(75.0, 76.0]",2.0,0.018005091696977615,0.00016253773355856538
zz,"(76.0, 77.0]",6.0,0.041031673550605774,0.00034122340730391443
zz,"(77.0, 78.0]",1.0,0.008755413815379143,7.665727025596425e-05
zz,"(78.0, 79.0]",4.0,0.03540458157658577,0.00031394255347549915
zz,"(79.0, 80.0]",6.0,0.05072624236345291,0.0004322746826801449
zz,"(80.0, 81.0]",6.0,0.0357101708650589,0.00029238706338219345
zz,"(81.0, 82.0]",9.0,0.06994398683309555,0.0006127653177827597
zz,"(82.0, 83.0]",9.0,0.05798163264989853,0.00042108551133424044
zz,"(83.0, 84.0]",13.0,0.10724696516990662,0.0009266772540286183
zz,"(84.0, 85.0]",13.0,0.10128869116306305,0.0008760679047554731
zz,"(85.0, 86.0]",26.0,0.18711334466934204,0.001551921828649938
zz,"(86.0, 87.0]",44.0,0.3418828248977661,0.002911098999902606
zz,"(87.0, 88.0]",53.0,0.3930378258228302,0.0032923256512731314
zz,"(88.0, 89.0]",92.0,0.6890189051628113,0.0057410285808146
zz,"(89.0, 90.0]",120.0,0.8458929657936096,0.007036340888589621
zz,"(90.0, 91.0]",174.0,1.3326127529144287,0.011155609972774982
zz,"(91.0, 92.0]",143.0,0.9909234046936035,0.008074488490819931
zz,"(92.0, 93.0]",114.0,0.8037185072898865,0.006748746614903212
zz,"(93.0, 94.0]",84.0,0.6019977927207947,0.005047999322414398
zz,"(94.0, 95.0]",54.0,0.3958544135093689,0.0032598674297332764
zz,"(95.0, 96.0]",35.0,0.24081937968730927,0.0019876742735505104
zz,"(96.0, 97.0]",23.0,0.18527333438396454,0.0015974720008671284
zz,"(97.0, 98.0]",17.0,0.11932913213968277,0.0009740230743773282
zz,"(98.0, 99.0]",9.0,0.05808522179722786,0.0004404254141263664
zz,"(99.0, 100.0]",6.0,0.0362231582403183,0.00032365525839850307
zz,"(100.0, 101.0]",6.0,0.036623626947402954,0.0002796862681861967
zz,"(101.0, 102.0]",8.0,0.05286223068833351,0.0004363296611700207
zz,"(102.0, 103.0]",8.0,0.06308892369270325,0.0005300725460983813
zz,"(103.0, 104.0]",3.0,0.027274616062641144,0.0002484639990143478
zz,"(104.0, 105.0]",7.0,0.05132078006863594,0.00043850005022250116
zz,"(105.0, 106.0]",5.0,0.039451535791158676,0.00032905390253290534
zz,"(106.0, 107.0]",2.0,0.01757531240582466,0.0001545726991025731
zz,"(107.0, 108.0]",3.0,0.01739439181983471,0.0001298314455198124
zz,"(108.0, 109.0]",1.0,0.009444976225495338,8.920757682062685e-05
zz,"(109.0, 110.0]",1.0,0.008755413815379143,7.665727025596425e-05
zz,"(110.0, 111.0]",0.0,0.0,0.0
zz,"(111.0, 112.0]",1.0,0.009271008893847466,8.595160761615261e-05
zz,"(112.0, 113.0]",1.0,0.005079628434032202,2.580262480478268e-05
zz,"(113.0, 114.0]",2.0,0.01874581351876259,0.0001757235440891236
zz,"(114.0, 115.0]",2.0,0.009400805458426476,4.798982627107762e-05
zz,"(115.0, 116.0]",1.0,0.008667838759720325,7.513142918469384e-05
zz,"(116.0, 117.0]",0.0,0.0,0.0
zz,"(117.0, 118.0]",1.0,0.008528800681233406,7.274044037330896e-05
zz,"(118.0, 119.0]",1.0,0.0033215899020433426,1.1032959264412057e-05
zz,"(119.0, 120.0]",1.0,0.008755413815379143,7.665727025596425e-05
zz,"(120.0, inf]",45.0,0.32112088799476624,0.0026428773999214172
